实验时间,"时间	",分数,按键次数,备注,按键记录
,34.91,178,,,
,,,,,
,33.87,227,test,,
,,,,,
,15.25,88,test,,
,,,,,
,3.89,20,1,test,
,6.19,20,1,test,
,,,,,
,20.3,122,7,test,
,,,,,
,9.57,63,10,test,
,,,,,
,74.24,289,28,test,
,5.81,16,2,test,
,,,,,
,7.82,24,3,test,
,,,,,
,4.68,8,1,test,
,,,,,
,3.54,8,1,test,
,,,,,
,3.54,8,1,test,
,,,,,
,3.54,8,1,test,
,,,,,
,3.55,8,1,test,
,,,,,
,24.73,67,8,test,"['down', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'down', 'right', 'up']"
,,,,,
,11.35,49,6,test,"['down', 'right', 'down', 'right', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'right']"
,,,,,
,49.85,146,16,test,"['down', 'left', 'down', 'right', 'up', 'right', 'down', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'up', 'right', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'left', 'left', 'up', 'left', 'down', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'down', 'right', 'down', 'right', 'up', 'right', 'up', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'left', 'down', 'right', 'up', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'left', 'down', 'left', 'up', 'left', 'down', 'left', 'up']"
,,,,,
,27.45,117,26,test,"['down', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'right', 'down', 'right', 'up', 'right', 'up', 'left', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'down', 'right', 'up', 'left', 'up', 'left', 'up', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'left', 'up', 'left', 'up']"
15:38:21,10.84,32,4,test,"['down', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'down', 'right']"
,,,,,
19:00:09,45.55,135,15,test,"['down', 'right', 'down', 'right', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'right', 'up', 'right', 'up', 'right', 'up', 'right', 'up', 'right', 'down', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'down', 'right', 'up', 'right', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'up', 'left', 'up', 'right', 'down', 'right', 'down', 'right', 'down']"
,,,,,
19:00:48,28.96,154,28,test,"['down', 'right', 'up', 'left', 'up', 'left', 'up', 'left', 'down', 'right', 'down', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'down', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down']"
,,,,,
20:03:55,47.15,146,16,effective,"['down', 'right', 'down', 'left', 'up', 'right', 'up', 'down', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down']"
,,,,,
20:05:14,52.85,179,19,effective,"['right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'up', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'down', 'right', 'down', 'left', 'down', 'right', 'down', 'left', 'down', 'right', 'down', 'right', 'down', 'right', 'right']"
,,,,,
