实验时间,"时间		",分数,方块数量,备注,点击位置
,42.1,141,,test,
,,,,,
,47.11,83,,test,
,,,,,
,28.66,58,,test,
,,,,,
,54.15,219,,test,
,,,,,
,6.48,20,,test,
,,,,,
,25.13,85,,test,
,,,,,
,21.29,73,,test,
,,,,,
,9.49,13,,test,
,,,,,
,2.01,0,,test,
,83.12,214,,test,
,,,,,
,4.67,8,,test,
,,,,,
,16.28,40,,test,"[['right', [660, 380], [303, 327]], ['down', [660, 380], [276, 308]], ['left', [660, 380], [349, 169]], ['up', [660, 380], [426, 304]], ['right', [660, 380], [507, 388]], ['down', [660, 380], [324, 320]], ['left', [660, 380], [316, 113]], ['up', [660, 380], [292, 215]], ['left', [660, 380], [257, 199]], ['down', [660, 380], [418, 126]], ['right', [660, 380], [403, 54]], ['up', [660, 380], [533, 134]], ['right', [660, 380], [484, 261]], ['down', [660, 380], [557, 231]], ['right', [660, 380], [512, 351]], ['down', [660, 380], [604, 341]]]"
,,,,,
,6.84,18,,test,"[['right', [600, 500], [283, 348]], ['down', [600, 500], [407, 256]], ['right', [600, 500], [564, 432]], ['down', [600, 500], [423, 349]], ['left', [600, 500], [477, 266]], ['up', [600, 500], [600, 369]], ['right', [600, 500], [569, 398]]]"
15:39:24,24.53,67,,test,"[['right', [660, 280], [286, 340]], ['down', [660, 280], [430, 280]], ['right', [660, 280], [400, 228]], ['up', [660, 280], [269, 211]], ['left', [660, 280], [296, 124]], ['up', [660, 280], [197, 204]], ['left', [660, 280], [217, 302]], ['down', [660, 280], [358, 232]], ['right', [660, 280], [280, 278]], ['down', [660, 280], [382, 215]], ['right', [660, 280], [433, 63]], ['up', [660, 280], [482, 167]], ['right', [660, 280], [461, 51]], ['up', [660, 280], [400, 96]], ['left', [660, 280], [452, 143]], ['down', [660, 280], [426, 98]], ['left', [660, 280], [480, 38]], ['up', [660, 280], [511, 116]], ['right', [660, 280], [422, 234]], ['down', [660, 280], [352, 216]], ['left', [660, 280], [326, 364]], ['down', [660, 280], [396, 299]], ['right', [660, 280], [362, 251]], ['up', [660, 280], [297, 346]], ['left', [660, 280], [383, 397]], ['down', [660, 280], [274, 358]], ['left', [660, 280], [278, 395]], ['down', [660, 280], [411, 382]], ['right', [660, 280], [477, 297]], ['up', [660, 280], [575, 379]]]"
,,,,,
